Year;Days
1917;119,4791667
1918;130,3979167
1919;122,60625
1920;131,4486111
1921;130,2791667
1922;131,5555556
1923;128,0833333
1924;131,6319444
1925;126,7722222
1926;115,66875
1927;132,2375
1928;126,6840278
1929;124,6534722
1930;127,79375
1931;129,3909722
1932;121,4270833
1933;127,8125
1934;119,5881944
1935;134,5638889
1936;120,5402778
1937;131,8361111
1938;125,8430556
1939;118,5597222
1940;110,64375
1941;122,0763889
1942;119,5611111
1943;117,8069444
1944;124,5888889
1945;135,4034722
1946;124,6944444
1947;122,7451389
1948;133,4673611
1949;133,5270833
1950;125,6763889
1951;119,7458333
1952;132,7111111
1953;118,6625
1954;125,7506944
1955;128,5923611
1956;121,975
1957;124,3958333
1958;118,6222222
1959;127,4763889
1960;122,8
1961;124,4798611
1962;131,9743056
1963;124,7673611
1964;140,4868056
1965;126,7923611
1966;127,5076389
1967;123,4965278
1968;128,3930556
1969;117,5194444
1970;123,4423611
1971;127,8965278
1972;130,4972222
1973;123,4993056
1974;125,6555556
1975;129,5756944
1976;122,4520833
1977;125,5319444
1978;119,6375
1979;119,7611111
1980;119,5527778
1981;119,7805556
1982;129,7333333
1983;118,7756944
1984;129,6479167
1985;130,6083333
1986;127,9513889
1987;124,6326389
1988;117,3854167
1989;120,8430556
1990;113,7215278
1991;120,0027778
1992;134,2680556
1993;112,5423611
1994;118,9590278
1995;115,5569444
1996;125,5222222
1997;119,4361111
1998;109,7041667
1999;118,9076389
2000;121,4493056
2001;127,5416667
2002;126,89375
2003;118,7652778
2004;114,5944444
2005;117,5006944
2006;121,7284722
2007;116,6576389
2008;126,9534722
2009;120,8618056
2010;118,3791667
2011;123,6833333
2012;113,81875
2013;139,6118056
2014;114,6583333
2015;113,6006944
2016;113,6520833
2017;120,5
2018;120,5541667
2019;103,5145833
